title,studio,domestic_gross,foreign_gross,year
Toy Story 3,BV,415000000.0,652000000.0,2010
Alice in Wonderland (2010),BV,334200000.0,691300000.0,2010
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000.0,2010
Inception,WB,292600000.0,535700000.0,2010
Shrek Forever After,P/DW,238700000.0,513900000.0,2010
The Twilight Saga: Eclipse,SUM.,300500000.0,398000000.0,2010
Iron Man 2,PAR.,312400000.0,311500000.0,2010
Tangled,BV,200800000.0,391000000.0,2010
Despicable Me,UNI.,251500000.0,291600000.0,2010
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010
Clash of the Titans (2010),WB,163200000.0,330000000.0,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,FOX,104400000.0,311300000.0,2010
The King's Speech,WEIN.,135500000.0,275400000.0,2010
Tron Legacy,BV,172100000.0,228000000.0,2010
The Karate Kid,SONY,176600000.0,182500000.0,2010
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010
Black Swan,FOXS,107000000.0,222400000.0,2010
Megamind,P/DW,148400000.0,173500000.0,2010
Robin Hood,UNI.,105300000.0,216400000.0,2010
The Last Airbender,PAR.,131800000.0,187900000.0,2010
Little Fockers,UNI.,148400000.0,162200000.0,2010
Resident Evil: Afterlife,SGEM,60100000.0,240100000.0,2010
Shutter Island,PAR.,128000000.0,166800000.0,2010
Salt,SONY,118300000.0,175200000.0,2010
Sex and the City 2,WB(NL),95300000.0,193000000.0,2010
The Tourist,SONY,67600000.0,210700000.0,2010
The Expendables,LGF,103100000.0,171400000.0,2010
Grown Ups,SONY,162000000.0,109400000.0,2010
Knight & Day,FOX,76400000.0,185500000.0,2010
True Grit,PAR.,171200000.0,81000000.0,2010
Gulliver's Travels,FOX,42800000.0,194600000.0,2010
Percy Jackson & The Olympians: The Lightning Thief,FOX,88800000.0,137700000.0,2010
The Social Network,SONY,97000000.0,128000000.0,2010
Valentine's Day,WB(NL),110500000.0,106000000.0,2010
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010
Due Date,WB,100500000.0,111200000.0,2010
Eat Pray Love,SONY,80600000.0,124000000.0,2010
Yogi Bear,WB,100200000.0,101300000.0,2010
Red,SUM.,90400000.0,108600000.0,2010
Paranormal Activity 2,PAR.,84800000.0,92800000.0,2010
The A-Team,FOX,77200000.0,100000000.0,2010
Jackass 3-D,PAR.,117200000.0,54500000.0,2010
The Other Guys,SONY,119200000.0,51200000.0,2010
Unstoppable,FOX,81600000.0,86200000.0,2010
Step Up 3-D,BV,42400000.0,116900000.0,2010
The Book of Eli,WB,94800000.0,62300000.0,2010
The Town,WB,92200000.0,61800000.0,2010
Date Night,FOX,98700000.0,53600000.0,2010
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010
The Wolfman,UNI.,62000000.0,77800000.0,2010
The Bounty Hunter,SONY,67099999.0,69300000.0,2010
Saw 3D,LGF,45700000.0,90400000.0,2010
Wall Street: Money Never Sleeps,FOX,52500000.0,82300000.0,2010
The Fighter,PAR.,93600000.0,35600000.0,2010
Predators,FOX,52000000.0,75200000.0,2010
A Nightmare on Elm Street (2010),WB(NL),63100000.0,52600000.0,2010
Dear John,SGEM,80000000.0,35000000.0,2010
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010
Tooth Fairy,FOX,60000000.0,52400000.0,2010
Life as We Know It,WB,53400000.0,52300000.0,2010
Hereafter,WB,32700000.0,72500000.0,2010
The Girl with the Dragon Tattoo,MBOX,10100000.0,94300000.0,2010
Love and Other Drugs,FOX,32400000.0,70500000.0,2010
Aftershock (Tangshan Dadizhen),CL,63000.0,100200000.0,2010
Killers,LGF,47100000.0,51100000.0,2010
Kick-Ass,LGF,48100000.0,48100000.0,2010
Green Zone,UNI.,35100000.0,59800000.0,2010
Nanny McPhee Returns,UNI.,29000000.0,64200000.0,2010
Get Him to the Greek,UNI.,61000000.0,30300000.0,2010
Burlesque,SGEM,39400000.0,50100000.0,2010
The Last Song,BV,63000000.0,26100000.0,2010
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010
Marmaduke,FOX,33600000.0,50100000.0,2010
Piranha 3D,W/DIM.,25000000.0,58200000.0,2010
Oceans,BV,19400000.0,63200000.0,2010
Edge of Darkness,WB,43300000.0,37800000.0,2010
Vampires Suck,FOX,36700000.0,43900000.0,2010
Letters to Juliet,SUM.,53000000.0,26100000.0,2010
The Back-Up Plan,CBS,37500000.0,40000000.0,2010
If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000.0,75600000.0,2010
Diary of a Wimpy Kid,FOX,64000000.0,11700000.0,2010
Easy A,SGEM,58400000.0,16600000.0,2010
Hubble 3D,WB,52400000.0,21500000.0,2010
Takers,SGEM,57700000.0,11300000.0,2010
Tales from Earthsea,BV,48500.0,68600000.0,2010
Legion (2010),SGEM,40200000.0,27800000.0,2010
The American,FOCUS,35600000.0,32299999.0,2010
The Last Exorcism,LGF,41000000.0,26700000.0,2010
The Next Three Days,LGF,21100000.0,46300000.0,2010
The Girl Who Played with Fire,MBOX,7600000.0,59500000.0,2010
Skyline,UNI.,21400000.0,45400000.0,2010
Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010
Devil,UNI.,33600000.0,29100000.0,2010
127 Hours,FOXS,18300000.0,42400000.0,2010
Tyler Perry's Why Did I Get Married Too?,LGF,60100000.0,578000.0,2010
Secretariat,BV,59700000.0,537000.0,2010
The Ghost Writer,SUM.,15500000.0,44700000.0,2010
Morning Glory,PAR.,31000000.0,29000000.0,2010
Remember Me,SUM.,19100000.0,37000000.0,2010
Cop Out,WB,44900000.0,10700000.0,2010
The Crazies,OVER.,39100000.0,15700000.0,2010
From Paris with Love,LGF,24100000.0,28700000.0,2010
Daybreakers,LGF,30100000.0,21300000.0,2010
Alpha and Omega,LGF,25100000.0,25400000.0,2010
The Switch,MIRA.,27800000.0,22100000.0,2010
She's Out of My League,PAR.,32000000.0,17800000.0,2010
Death at a Funeral (2010),SGEM,42700000.0,6300000.0,2010
How Do You Know,SONY,30200000.0,18500000.0,2010
Charlie St. Cloud,UNI.,31200000.0,17000000.0,2010
Scott Pilgrim vs. the World,UNI.,31500000.0,16100000.0,2010
Heartbreaker,IFC,504000.0,46900000.0,2010
The Spy Next Door,LGF,24300000.0,20900000.0,2010
"The Good, the Bad, the Weird",IFC,128000.0,44100000.0,2010
Machete,FOX,26600000.0,17500000.0,2010
The Girl Who Kicked the Hornet's Nest,MBOX,5200000.0,38300000.0,2010
The Man From Nowhere,CJ,528000.0,42500000.0,2010
When in Rome,BV,32700000.0,10400000.0,2010
My Name is Khan,FOXS,4000000.0,38300000.0,2010
Going the Distance,WB(NL),17800000.0,24200000.0,2010
The Concert,WEIN.,658000.0,40500000.0,2010
Agora,NM,619000.0,38400000.0,2010
For Colored Girls,LGF,37700000.0,17300.0,2010
Brooklyn's Finest,OVER.,27200000.0,9300000.0,2010
Furry Vengeance,SUM.,17600000.0,18600000.0,2010
Faster,CBS,23200000.0,12400000.0,2010
The Kids Are All Right,FOCUS,20800000.0,13900000.0,2010
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010
The Secret in Their Eyes,SPC,6400000.0,27600000.0,2010
Avatar: Special Edition,FOX,10700000.0,22500000.0,2010
Leap Year,UNI.,25900000.0,6700000.0,2010
You Again,BV,25700000.0,6300000.0,2010
Mesrine: Killer Instinct,MBOX,552000.0,30500000.0,2010
The Losers,WB,23600000.0,5800000.0,2010
Case 39,PARV,13300000.0,14900000.0,2010
Ramona and Beezus,FOX,26200000.0,1100000.0,2010
Splice,WB,17000000.0,9800000.0,2010
Fair Game (2010),SUM.,9500000.0,14600000.0,2010
Let Me In,OVER.,12100000.0,12000000.0,2010
Mao's Last Dancer,GOLD.,4800000.0,17500000.0,2010
Just Wright,FOXS,21500000.0,29900.0,2010
Our Family Wedding,FOXS,20300000.0,1200000.0,2010
My Soul to Take,UNI.,14700000.0,6200000.0,2010
71 Into the Fire,JS,177000.0,20800000.0,2010
"I Love You, Phillip Morris",RATT.,2000000.0,18700000.0,2010
Country Strong,SGEM,20200000.0,310000.0,2010
Another Year,SPC,3200000.0,16500000.0,2010
Youth in Revolt,W/DIM.,15300000.0,4400000.0,2010
Buried,LGF,1000000.0,18100000.0,2010
[Rec] 2,MAGN.,27800.0,18500000.0,2010
Repo Men,UNI.,13800000.0,4600000.0,2010
A Prophet (Un prophète),SPC,2100000.0,15800000.0,2010
Soul Kitchen,IFC,277000.0,17600000.0,2010
Mother (2010),MAGN.,552000.0,16600000.0,2010
Micmacs,SPC,1300000.0,15100000.0,2010
The Nutcracker in 3D,FREE,195000.0,16000000.0,2010
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000.0,2010
I Hate Luv Storys,UTV,848000.0,14900000.0,2010
Extraordinary Measures,CBS,12100000.0,3100000.0,2010
Somewhere,FOCUS,1800000.0,12200000.0,2010
Winter's Bone,RATT.,6500000.0,7300000.0,2010
The Last Station,SPC,6600000.0,6900000.0,2010
Raajneeti,UTV,1500000.0,11100000.0,2010
Made in Dagenham,SPC,1100000.0,11300000.0,2010
Blue Valentine,WEIN.,9700000.0,2600000.0,2010
Tamara Drewe,SPC,560000.0,11400000.0,2010
Chloe,SPC,3100000.0,8600000.0,2010
Looking for Eric,IFC,55800.0,11500000.0,2010
The Warrior's Way,RELA.,5700000.0,5400000.0,2010
I Am Love,MAGN.,5000000.0,5900000.0,2010
Jonah Hex,WB,10500000.0,356000.0,2010
Harry Brown,GOLD.,1800000.0,8500000.0,2010
Cyrus,FOXS,7500000.0,2500000.0,2010
