id,rating,genre,runtime
1,R,Action and Adventure|Classics|Drama,104.0
3,R,Drama|Science Fiction and Fantasy,108.0
5,R,Drama|Musical and Performing Arts,116.0
6,R,Drama|Mystery and Suspense,128.0
7,NR,Drama|Romance,200.0
8,PG,Drama|Kids and Family,95.0
10,PG-13,Comedy,82.0
13,R,Drama,123.0
14,R,Drama,117.0
15,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,108.0
17,NR,UNKOWN,90.0
18,NR,Documentary,90.0
19,NR,Documentary|Special Interest,90.0
20,PG-13,Classics|Comedy|Drama,97.0
21,R,Comedy,106.0
22,R,Comedy|Drama|Mystery and Suspense,108.0
23,R,Drama,129.0
24,PG,Action and Adventure|Comedy|Drama,98.0
25,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,127.0
26,R,Art House and International|Comedy|Drama|Musical and Performing Arts,96.0
27,NR,Musical and Performing Arts,90.0
28,G,Classics|Comedy|Musical and Performing Arts|Romance,90.0
29,PG,Action and Adventure|Drama|Science Fiction and Fantasy,101.0
33,R,Action and Adventure|Drama|Mystery and Suspense,114.0
34,PG-13,Action and Adventure|Mystery and Suspense,123.0
35,R,Drama,110.0
38,R,Art House and International|Classics|Horror|Mystery and Suspense,96.0
39,R,Horror,97.0
40,R,Drama,95.0
41,R,Drama,106.0
42,G,Action and Adventure|Classics|Drama|Mystery and Suspense,65.0
43,NR,Classics|Comedy|Musical and Performing Arts,75.0
44,R,Comedy,82.0
45,PG,Comedy|Kids and Family,92.0
46,R,Comedy|Musical and Performing Arts,91.0
48,NR,Action and Adventure|Drama|Western,73.0
49,R,Action and Adventure|Comedy|Mystery and Suspense,100.0
50,R,Action and Adventure|Drama,99.0
51,NR,Mystery and Suspense,108.0
52,PG,Comedy|Drama|Romance,103.0
53,PG,Drama|Romance,112.0
54,NR,Comedy|Drama,142.0
55,NR,Action and Adventure|Science Fiction and Fantasy,99.0
56,R,Drama,119.0
57,R,Comedy,122.0
58,PG,Comedy|Romance,86.0
59,NR,Art House and International|Drama,91.0
60,R,Horror,95.0
61,R,Action and Adventure|Drama|Horror|Mystery and Suspense,93.0
63,R,Action and Adventure|Drama|Mystery and Suspense,111.0
64,PG-13,Comedy,86.0
65,PG,Comedy|Kids and Family|Romance,108.0
66,R,Mystery and Suspense,118.0
67,R,Horror,89.0
68,NR,Classics|Drama,106.0
69,R,Comedy,74.0
70,PG,Action and Adventure,115.0
71,PG,Comedy,107.0
72,R,Action and Adventure|Classics|Drama,165.0
74,R,Comedy|Drama,104.0
75,R,Action and Adventure|Mystery and Suspense,107.0
77,PG-13,Comedy|Drama,99.0
79,R,Action and Adventure|Drama|Mystery and Suspense,98.0
80,NR,Action and Adventure|Art House and International|Drama,110.0
82,R,Comedy|Mystery and Suspense|Science Fiction and Fantasy|Romance,113.0
